description,title,price,stocks
"For a sleek, clean look, the Masonite Smooth Flush Hardwood Solid Core Birch Veneer Composite Interior Door Slab offers an affordable option perfect for home and office. As part of our commitment to environmental excellence, door facings are made with by-product wood chips and constructed using premium wood veneers. To customize to your decor, doors are ready to paint, varnish or stain.California residents: see&nbsp;Proposition 65 informationConstructed using premium wood veneers to reveal the beauty and warmth of natural woodClean, contemporary flush doors with the beauty of natural wood grainReady to paint, stain or varnish to coordinate with your decorDoor slab must be sealed on all six sidesReplacement size fits standard finished openingsReversible handing allows flexibility when installingSlab only - hardware to install not includedNote: Product may vary by store",Masonite 32 in. x 80 in. Smooth Flush Unfinished Hardwood Solid Core Birch Veneer Composite Interior Door Slab,4500.0,22
"Bring the classic woven wicker style to your outdoor space with this elegant 7-Piece Patio Dining Set from the Posada Collection by Hampton Bay. Perfect for dining and entertaining, the set includes six luxuriously cushioned dining chairs (two with arms; four without) and a painted glass top dining table with a woven rim, all in neutral gray tones to blend with any decor. The solid, powder-coated steel frames ensure that this set will provide outdoor enjoyment for years to come.Powder-coated steel frame offers lasting durabilityWoven wicker and neutral gray tones complement any outdoor styleChairs are stackable for convenient storageEasy to clean with mild soap and waterSet includes dining table, two arm chairs, four armless chairs and cushions, perfect for entertainingCoordinates with other patio furniture and accessories in Posada collection (available separately)More options available, CLICK HERE to create your own collection""",Hampton Bay Posada 7-Piece Patio Dining Set with Gray Cushions,24999.0,22
"Grace Ice & Water Shield HT fully-adhered, smooth surface roofing underlayment is specifically designed for high temperature applications such as metal roof assemblies. It delivers all the advantages of Grace Ice & Water Shield roofing underlayment with thermal stability metal roofs require. Not all high temperature roofing underlayments are the same. Grace Ice & Water Shield HT is an excellent high temperature ice and water barrier that follows in the footsteps of the original Ice & Water Shield, but is specially formulated to meet the higher service temperatures that are inherent to metal roofing systems. Grace Ice & Water Shield HT is formulated with a proprietary adhesive with temperature resistance of up to 260F. The membrane forms a watertight bond to the roof deck, and seals around fasteners to around the nail of the primary roof covering and thus maintains its waterproof integrity on the roof deck. It also creates a strong bond to the roof deck. Grace Ice & Water Shield HT delivers optimal balance of adhesion and thermal stability for superior performance under the most demanding conditions.Temperature resistance up to 260 F: Provides premium waterproofing for metal roofs120 day exposure: Delivers consistent performance over long, unpredictable construction cyclesStrong adhesion to the roof deck: Helps ensure a watertight seal, protecting roofs from harsh weather conditionsHigh quality seal around roofing nails: Delivers strong roof leak protection; providing peace of mind against costly call backsForms superior laps: Provides watertight installation with no special treatment of the lapsDual barrier protection - rubberized asphalt is combined with polymeric film to form two waterproofing barriers providing maximum protectionDelivers optimum balance of adhesion and thermal stability for superior performance under the most demanding conditionsProtects under all standard sloped roof coverings - Grace Ice & Water Shield HT protects under slate, tile, cedar shakes, metal and conventional asphalt shinglesProtects roofs from wind driven rain and ice dams",Grace Ice &amp; Water Shield HT 36 in. x 75 ft. (225 sq. ft.) Roll Roofing Underlayment in Black,420.0,19
"Installing in minutes, the EZ Trim Fence System is an easy solution for your fencing needs. The 4 ft. long Rail connects to any of our EZ Trim Posts, allowing you to create your own custom fence. Makes a great border for walkways, gardens and flower beds.Fence rail connects your Greenes EZ trim fence post and rail system from post to postWorks with EZ trim corner posts, line posts and end posts to form a fence of your designCreates a decorative and functional border for walkways, gardens and flower bedsEZ trim fence post and rail system installs easily in minutesMade in USA from sustainable sources",Greenes Fence 2 in. Wood EZ Trim Garden Fence Rail,1800.0,7
"The Glacier Bay 2-Piece High Efficiency Round Toilet in White is manufactured from durable vitreous china, which is resistant to stains, acid and abrasions for long-lasting beauty. This 2-piece toilet has a separate bowl and tank, and the round bowl can fit easily in most bathrooms. The white color can blend with many bathroom styles. Limited Lifetime Warranty.Features the quick connect easy installation systemHigh performance bowl is designed for superior flushing powerAll in one packaging includes: toilet seat, wax ring, floor mounting bolt setNeutral white finish blends with most bathroom styles",Glacier Bay 2-piece 1.28 GPF High Efficiency Round Toilet in White,4500.0,25
"Trimaco's One Tuff Drop cloths consist of a durable DuPont sontara fabric backed with a specially engineered coating that will not delaminate. Great for painting, plastering and staining. One Tuff is perfect for interior construction projects, painting and moving.Blue fabric is absorbent and avoids trackingTotal leakproof protectionCoated back prevents slippingLeads the industry in durabilityHighly resistant to tears and punctures",One Tuff 6 ft. x 8 ft. Professional Grade Drop Cloth,11834.996966632963,12
"The black Cub Cadet Deluxe Lawn Tractor Cover provides all-season protection for your lawn and garden tractor. Made from coated ProTek fabric. The tractor cover resists water, mildew, shrinking and stretching.All-season protection for riding mowers or tractorsWater repellent, mildew resistant and stretch resistantReinforced vent allows air circulation and helps prevent ballooning in windElastic hem for a custom fitStorage bag included",Cub Cadet Deluxe Lawn Tractor Cover,2950.0,24
"The Shark Rotator Professional Lift-Away is a powerful never loses suction upright vacuum that features a unique detachable and portable canister that lifts away for effortless cleaning in and around the home. The extra large capacity dust cup and Anti-Allergen Complete Seal Technology traps over 99.9% of dust and allergens inside the vacuum. Enhanced swivel steering provides the ultimate control to get in and around obstacles, furniture, ultra-quiet technology allows for operation anywhere, anytime. The powerful motorized brush roll can be turned on or off, providing superior performance on both carpets and bare floors. Includes a premium pet power brush, dusting brush, crevice tool, canister caddy, straight suction nozzle and a wide upholstery tool. An extra long 30 ft. long power cord provides maximum range for cleaning large spaces quickly and easily.California residents: see&nbsp;Proposition 65 informationFeatures 3 vacuums in 1, powerful upright, lift-away pod for portable cleaning and a convenient canister vacuumExtra-large capacity dust cup and anti-allergen complete seal traps over 99.99% of dust and allergens inside the vacuumEnhanced swivel steering provides the ultimate control to get in and around obstacles, furnitureUltra quiet technology feature allows for operation anywhere, anytimePremium rotator power nozzle comes with headlights and a brush roll shutoff, providing superior performance on both carpets and bare floorsIncludes a premium pet power brush, dusting brush, crevice tool, canister caddy, straight suction nozzle and a wide upholstery toolAn extra long 30 ft. long power cord provides maximum range for cleaning large spaces quickly and easily5 year limited warranty1200-WattPowerful headlightsHome Depot Protection Plan:",Shark Rotator Professional Lift-Away Vacuum Cleaner,32000.0,3
"The Steves & Sons, Inc. 18 in. x 80 in. Wood Unfinished Flush Slab Door offers a neat, classically simple design. It can be primed and stained or painted to complement a range of modern or traditional styles. The 1-3/8 in. thick hollow-core slab features double-lock blocks that can be bored and machined to fit an existing opening.California residents: see&nbsp;Proposition 65 informationSturdy 1-3/8 in. thick hollow-core hardwood construction with all-wood edges for reliabilityFlush, light-colored wood faces can grace a wide range of interior environmentsCan be primed and stained or painted to suit your trim and mouldingsDouble lock blocks allow you to bore and machine this slab to fit an existing openingInterior applicationCan be stained or paintedNote: Product may vary by store",18 in. x 80 in. Flush Hardwood Unfinished Hollow Core Interior Door Slab,3200.0,3
"The Hotpoint 30 in. Freestanding Gas Range features a 1-piece upswept porcelain-enamel cooktop that helps contain spilled-over foods and liquids, making cleanup quick and easy. The range's spacious 4.8 cu. ft. oven features two sturdy racks that adjust into six embossed positions to suit your various baking needs. An oven light and window make it easy to check on the contents without opening the oven door and losing heat.California residents: see&nbsp;Proposition 65 information4.8 cu. ft. capacity provides lots of room to cook multiple dishes at onceFour all-purpose burners deliver 2 levels of BTU output to accommodate almost all cooking needsSealed cooktop burners help contain foods and liquid on the cooktopStandard grates help keep pots and pans securely in place over the burners1-piece upswept porcelain-enamel cooktop helps prevent spilloverTwo oven racks offer sturdy storage for your cookwareSix embossed rack positions help you customize the oven interior to suit your needsBroiler drawer makes melting and grilling easyOven light and window make it easy to check on the contents without opening the oven door and losing heatWhite-on-white exterior for a classic, versatile lookComes with a one year limited manufacturer's warrantyClick Here for details on the services included with Delivery & Basic Hook-up and Installation options for this product",Hotpoint 4.8 cu. ft. Gas Range in White,42000.0,11
"Stay cool and protected from the summer sun or shielded from rain and snow with the Classic 12 ft. x 8 ft. Aluminum Attached Solid Patio Cover. Made from aluminum with a white, polyester finish, this patio cover is easy to maintain and is water, rust, chip and crack resistant. The 10 ft. posts can be cut to a desired height, and hardware is included for simple setup.96 sq. ft. coverage areaMade from aluminum for great durability and easy maintenanceTwin-vee panelsWhite polyester paint finish is smooth and resistant to chipping and crackingWater and rust resistant10 lb. live load in non-snow areasTwo 3 in. x 3 in. x 10 ft. posts can be cut to a desired heightHardware included for easy setupClassic patio covers are engineered to meet the 2006 international building codes and 2007 California building codes",Metals Building Products 12 ft. x 8 ft. White Aluminum Attached Solid Patio Cover with 2 Posts (10 lb. Live Load),16999.0,8
"Make reaching and cutting high branches easier than ever with our Power-Lever Extendable Tree Pruner. Power-Lever technology increases leverage to give you up to 2-times more cutting power than traditional tree pruners. The easy-to-handle, lightweight pole extends up to 14 ft. to put high branches within easy reach. The fully hardened, precision-ground steel pruning blade features a rust-resistant, low-friction coating that makes cutting easier, and an included 15 in. saw blade makes taking down thicker branches a breeze.Fully hardened, precision-ground steel pruning blade stays sharp, even though heavy useIdeal for cutting high branches without climbing a ladderLow-friction coating helps the blade glide through wood, prevents the blade from gumming up with sap and debris and helps the blade resist rustQuick-release thumb lock secures the extendable pole at the perfect lengthPower-lever technology maximizes leverage to give you up to 2-times more cutting power than traditional tree prunersMaximum cutting capacity: 1-1/8 in. Dia for the pruning bladeIncluded 15 in. saw blade powers through thicker branchesLifetime warranty",Fiskars 14 ft. Bypass Pruner,1499.0,14
"Create more space in your closet with the ClosetMaid Selectives 24 in. Stackable Storage Organizer. With 2 versatile shelves, you can place it on the floor for shoe storage or stack it with other shelves to hold sweaters, towels, toys and more. This versatile white laminate organizer is easy to assemble and coordinates with other Selectives and ShelfTrack accessories for a complete, elegant look.Secures to wall with included hardware and easy-to-follow instructions for safety and stabilitySturdy white laminate construction offers solid support2 shelves provide ample space for shoes, clothing, towels and moreStacks with multiple units or stands alonePerfect for closets, children's rooms and hobby storageCombine with other ShelfTrack accessories or pieces in the Selectives collection for a complete closet systemClick Here for a Demo of the Design ToolClick Here for Ideas and Designs",ClosetMaid Selectives 24 in. White Stackable Storage Organizer,2800.0,22
"Introducing the revolutionary new Cub Cadet 3X 3-Stage snow blower. These industry exclusive cuts through tough packed snow and ice like no other machine available today. The 3X's unique high-speed Induction Accelerator draws snow through the system, creating an effortless forward motion. No backups. No ride ups. No spill over. This new 3X technology easily cuts through deep snowfall up to 50% faster than 2-Stage snow blowers. There's no stopping the next generation of Cub Cadet snow blowers.California residents: see&nbsp;Proposition 65 informationIdeal snowfall range: 6 in. to 16 in.Ideal surfaces: smooth and gravel surfaces; flat to slight slope26 in. clearing width, 21 in. intake height357cc electric start Cub Cadet 4-cycle OHV engineClear snow faster: new 3X induction accelerator moves snow up to 50% faster than 2X snow throwersTrigger controlled power steering at your fingertips for unmatched control, effortless maneuverability and 1-hand operationHeated hand grips for added comfortRevolutionary cool blue skid shoes glide along surfaces for better maneuverability and won't rust or damage your driveway6 forward and 2 reverse speeds allow for easy snow clearing at your pacePush button electric start makes it incredibly easy to start in tough winter conditionsSingle-hand 4-way chute control adjusts the chute rotation and pitch with 1-hand for the ultimate snow throwing controlIn-dash headlight allows you to clear your driveway any time of the day or night15 in. x 5 in. X-TRAC tires provide solid traction in extreme weather conditionsThrows snow up to 40 ft.Use 5-Walt-30 engine oil for easy starting at all temperaturesYou're covered winter after winter with a premium 3-year limited residential and 1-year limited commercial warranty and 5-year limited auger gearboxHome Depot Protection Plan:",Cub Cadet 3X 26 in. 357cc 3-Stage Electric Start Gas Snow Blower with Power Steering and Heated Grips,199995.0,11
"Achieving a vintage, time-worn look is simple if you start with the right paint. With Americana DecorChalky Finish paint, creating beautiful home decor and furniture pieces does not require skills or hours of training. Make store-bought pieces or flea market finds look like they came from a European estate sale or a French countryside cottage by using Americana Decor Chalky Finish paint.Ultra-matte sheen that can be quickly customized with different waxes or varnishes that delivers a smooth, soft finish every timeOne coat coverage over most sealed surfaces and base colors - one can covers up to 120 sq. ft.Cleans easily with soap and waterNo need to use primer - reliable adhesion to most surfaces without sanding or using a layer of primerFinal packaging may varyClick Here to learn more about Chalky Finish PaintChalky Finish is also available in the following colorsOnline Price includes Paint Care fee in the following states: CA, CO, CT, MN, OR, RI, VT",DecoArt Americana Decor 16 oz. Carbon Chalky Finish,850.0,0
"One-of-a-kind, the Hastings Collection 4-Light Rust Hanging Pendant from World Imports is crafted with hand-wrought iron, bringing elegant warmth to a hallway, entryway or dining area. The rust finish evokes classic Old World style, while the unique, open-frame design creates eye-catching appeal. Featuring an adjustable hanging length to accommodate any space, the fixture includes all necessary hardware for installation.Hand-wrought iron with rust finish for a classic, elegant lookAdjustable hanging length for versatile placement optionsHardware included for installationUses 4 candelabra bulbs, 60-Watt maximum each (sold separately)Lantern-style design with unique, open frame creates an eye-catching centerpiece5-1/4 in. D canopyCoordinates with other fixtures in the Hastings collection for a complete lighting theme throughout your homeHome Depot Protection Plan:",World Imports Hastings Collection 4-Light Rust Hanging Pendant,14999.0,30
"The Elkay Signature 20 in. x 20 in. Stainless Steel Utility Sink offers a single bowl made from thick, 20-Gauge steel with an undercoated underside for improved sound dampening, combining functionality and style for lasting quality. This sink features 3 pre-drilled fixture holes to simplify the installation of a faucet, sprayer or other accessory (not included). The 10 in. deep, high-capacity single bowl basin affords ample space and work room.Undercoating deadens sound, retains heat and prevents condensationMade from 20-Gauge stainless steel for a strong surface3 pre-drilled holes accommodate a variety of faucet styles10 in. deep, high-capacity single bowl design provides generous work spaceRust-resistant surface helps keep the sink looking like new for longerStainless steel body insulates against heat lossDurable satin finish is tough and long-lasting100% recyclable and made from 80% recycled content for an environmentally-friendly design",Elkay Signature 20 in. x 20 in. 3-Hole Stainless Steel Top Mount Utility Sink,12000.0,22
"Featuring a lifetime guarantee, Defiant meets or exceeds ANSI grade 3 standards for residential use. This lock features a radius latch with an adjustable backset and optional drive-in feature. The Powder coated finish will provide years of durability. When used as a replacement lock only a screwdriver is need to make installation a snap.Lifetime guaranteeLatch features an adjustable backset to fit 2-3/8 in. or 2-3/4 in. backsetLatch features a radius faceplate or can be easily converted to a drive-in styleEasy replacement installation with only a screwdriverFor residential use",Defiant Hartford Satin Nickel Privacy Knob,650.0,26
"The Dremel Multi-Max MM30 features 3.3 Amp of power ranking it as among the most powerful oscillating tools available. The convenient on-tool integrated wrench makes accessory changes fast and there's no lost wrench to find. An innovative magnetic accessory interface makes accessory changes easy because it holds the accessory in place while you tighten the screw. And the extra-wide 3.2 angle of oscillation improves the speed of cut and makes MM30 the fastest DIY cutting tool available. The MM30 is as solid performing and comfortably operating oscillating tool as you will find. Includes Dremel carry bag to store tool and accessories.Quick release on-tool integrated wrench: Dremel MM30 users no longer have to worry about losing their wrenchFast speed of cut: the extra-wide 3.2 oscillation angle provides faster cutting and performanceQuick hold magnetic accessory interface the MM30 magnetically holds the accessory in place making tightening the clamping screw significantly easier for the userWide variable speed range from 10,000-23,000 OPM is the highest top-end speed of all oscillating tool availableErgonomically optimized soft grip for comfort and control7 ft. durable rubber cord for a wide working rangeIncludes: MM435 drywall jab saw, MM450 wood and drywall blade, MM480 wood flush cut blade, MM11 hook and loop pad, MM70W sanding sheets, MM80P sanding sheets and MM502 grout blade and storage bagHome Depot Protection Plan:Repair Remodel Restore",Dremel Multi-Max Oscillating Tool Kit,15500.0,4
"The Kreg K4 Pocket-Hole System includes everything you need to get started with pocket-screw joinery. Whether you are building your first set of garage storage shelves or making simple repairs around the house, this system can help you finish the job with less time and effort. It makes joints as easy as drill, drive, done.California residents: see&nbsp;Proposition 65 informationFor creating pocket holes in a wide variety of materials, widths and thicknesses3-hole removable drill guide lets you make perfectly placed pocket holesHardened steel core for durability and heavy-duty glass-reinforced nylon body for strength and flexibilityWood-chip relief holesNo need to release the clamp and reposition the work pieceHard plastic case includes Kreg jig, stepped drill bit, 6 in. square driver, starter screw set, starter plug set, skill builder DVD and quick start guide",Kreg K4 Pocket-Hole System,4500.0,21
"The RIO High Efficiency Ductless Mini-Split Heat Pump system is compact, quiet and provides unmatched comfort in any room. The RIO outdoor compressor section is powered by a twin rotary compressor with GREE's DC Inverter technology. This inverter technology with eco-friendly R-410a refrigerant to saves you energy, reduces outdoor noise and keeps room temperature steady by eliminating the constant starts and stops of conventional air conditioning systems. The RIO indoor section is designed to be a comfortable fit in virtually any living space. A Universal Piping assembly/line-set (sold separately) is required for installation - be sure to select the appropriate size.DC inverter technologyHigh efficiency16 SEER5 year parts warranty - 7 year compressor warranty1/4 in. x 3/8 in. universal piping assembly/line-set (sold separately) is required; choose your appropriate length (15 ft., 25 ft., or 50 ft.)Recommended for professional purchase onlyDuctless split air conditioning system installations require professional contractor support, proper installation requires the use of a state licensed or certified HVAC contractor in order for the manufacturer's limited warranty to apply, please see full warranty statement for details","GREE High Efficiency 12,000 BTU 1 Ton Ductless Mini Split Air Conditioner with Heat, Inverter and Remote - 208-230V/60Hz",42000.0,19
"The Milwaukee Hole Dozer Bi-Metal Hole Saw features Rip Guard, the strongest tooth form in the industry, backed by the Rip Guard Limited Lifetime Tooth Break Warranty. Each tooth is built with more steel behind the cutting edge for added strength. The Rip Guard warranty on tooth breaks is a first for the hole saw industry. The added tooth strength along with 8% cobalt give added life to the teeth, allowing for increased productivity on the jobsite, as well as continued hole quality. The Hole Dozer includes Plug Jack, an all access slot design that allows for full access during plug removal. The Plug Jack gives access lower into the cup for thick material and higher towards the teeth for thin material. With multiple positions to apply leverage and better plug access, Plug Jack increases productivity and eliminates wasted downtime between holes.Rip guard the strongest tooth form in the industryRip guard limited lifetime tooth break warrantyPlug jack, an all access slot design for fast plug removalBi-metal construction with 8% cobalt for increased wear resistanceIncludes 8 hole saws -3/4 in., 7/8 in., 1-1/8 in., 1-1/2 in., 2 in., 2-1/8 in., 2-1/4 in., 2-1/2 in.2 arbors4 pilot bits1 hex key",Milwaukee Metal Hole Saw Kit (15-Piece),11834.996966632963,15
"The 2 ft. LED High Bay Light is ideal for lighting large spaces like warehouses, retail spaces, garages, gyms, manufacturing facilities and work areas. It is the energy efficient and maintenance free replacement or upgrade choice for existing HID metal halide and fluorescent high bay light fixtures. This fixture is 31% more efficient than traditional T5HO fluorescent high bays. Upgrading to LED means you save money on energy bills and you don't have to worry about changing bulbs.High-performance 4000K LEDs produce 11,200 Lumens over an average life of 60,000 hoursEnergy-efficient LED technology is 31% more efficient than T5HO fluorescent, saving you money on power billsA frosted acrylic lens prevents glare and shields the LEDsDurable steel construction is built to last and is finished in white enamel for a clean appearance36 in. suspension mounting kit is included (fixture not designed for surface mounting)CSA listed for damp locationsAccommodates a fixture-mount motion sensor for added energy savings and convenience",Lithonia Lighting 2 ft. White LED High Bay Light,22500.0,17
"The ""Ultra Protect"" basement window well covers are designed with ""Safety"" & ""Security"" for your home and family in mind. These versatile basement window well covers are manufactured using virtually indestructible clear polycarbonate plastic riveted to a continuous structural grade aluminum angle rear support. These basement window well covers will support a minimum of 250 lbs when properly installed using our patented SAF-T Locking System that is included with each ""Ultra Protect"" window well cover. Installing these basement window well covers over your basement window wells minimizes the risk of persons falling into deep, uncovered, unprotected basement window wells, preventing possible injury. The model RT536 (53 in. x 37 in.) basement window well cover is designed for use over Rectangular shaped Egress basement window wells. Its versatility makes it possible to be installed and trimmed to the profile of any type (steel, plastic, brick, wood tie, concrete etc.) basement window wells also known as ""Area Walls"". Once installed it can be trimmed to the profile (plus up to a 1 in. overhang around the perimeter) of the window well openings using an ordinary jigsaw with an aluminum cutting blade (10 to 14 teeth per in. blade for best results)to make for a perfect fit window well cover. A patented, solid steel locking system with pull pin release quickly unlocks the basement window well covers (without the use of a tool, required by code) from inside the basement window well.Basement window wells are the #1 entry point for home burglaries, deter intruders with ""Ultra Protect"" basement window well coversMade with durable UV protected clear polycarbonate plastic and high strength structural grade aluminumInstallation hardware includes our patented & secure SAF-T Lock locking system to help keep your home safe and secureSupports a minimum of 250 lbs. when installed using our SAF-T lock locking system (included)21 stock sizes to choose fromCan be trimmed to the profile of any shape or type window well for a perfect fitWhen choosing an Ultra Protect basement window well cover be sure to choose a cover large enough to be cut to the size & profile plus a minimum 1/2 in. overhang of the window wellDurable and lightweight so even young children can lift cover off and escape in case of emergencyKeeps out unwanted animals, debris and precipitationMeets or exceeds IBC & IFC building codesLimited lifetime guarantee",Ultra Protect 53 in. x 37 in. Rectangular Clear Polycarbonate Window Well Cover,4250.0,7
"Add an updated look to your transitional decor with the Hampton Bay Sovana White Ceiling Fan. Ideal for small spaces, this 3-speed fan features three white blades to help move air efficiently with quiet, wobble-free operation. A hand-held remote control offers independent light and speed controls, and an integrated light kit comes with clear glass. Uses one Halogen bulb (included).3 blades in white with 12 blade pitch for greater air movementWhite finish complements a variety of decor stylesIntegrated light kit with clear glass3-speed hand held remote control with manual reverse function153 mm x 15 mm motor offers superior air movementFlushmount installation is ideal for rooms with low ceilingsDesigned for interior use, ideal for small rooms with blade sweep of 44 in.Lifetime motor warrantyUL listedTrust The Home Depot's licensed electricians to help with your ceiling fan installation, call 877-941-8832 to schedule a free in-home consultationNot sure what size fan you need? check out our buying guide for helpful tipsNeed help installing your fan? check out our project guide for helpful tipsNeed Help? Find support information and FAQs on our Hampton Bay Customer Support pageNot sure what size fan you need? Click here for our Buying Guide.Need help installing your fan? Click here for our Project Guide.",Hampton Bay Sovana 44 in. White Ceiling Fan,8500.0,10
"The BLACK+DECKER EM1700 corded electric lawn mower is designed to get up close and under obstacles. This mower is designed with low profile and Edge Max features. The Compact and go grass box collects 25% more grass for less emptying and more mowing.Height adjust- 6 settings, single lever easily adjusts the height of cut between 1-1/10 in. and 3-1/10 in.17 in. cutting pathFolding handleIntegral cord wrapBale switching- full wrap bar for easy actuationLightweight - easy to push and maneuver around obstaclesHome Depot Protection Plan:",BLACK+DECKER 17 in. Walk-Behind Corded Electric Mower,12500.0,14
"Wilsonart's 48 in. x 96 in. Breccia Nouvelle Laminate Sheets provide enduring beauty like no other surfacing product. And, whatever pattern and color you choose for your kitchen countertop, bathroom vanity, laundry room or garage worktop, the beauty and easy maintenance will be yours at a price you can celebrate.  A new look is yours for less, leaving you with more to spend on special extras.Wilsonart's breccia nouvelle offers the look of a rich stone composed of various broken fragments of brown, black and sienna minerals accented with white quartzBreccia nouvelle can only be purchase at The Home DepotWilsonart premium laminates are enhanced with a specially engineered finish that adds lustrous depth and strengthens the surfaceLaminate countertops are famous for easy care and superior performanceA new Wilsonart laminate countertop, all by itself, can transform your kitchen without major remodelingStart your kitchen design today with our Kitchen PlannerGet a free quote with our Countertop Estimator",Wilsonart 48 in. x 96 in. Laminate Sheet in Breccia Nouvelle Quarry,25000.0,20
"The new and improved roundup 2 gal. Multi-Purpose Sprayer is perfect for all of your household needs. From cleaning decks and siding, to weed and pest control, this sprayer makes tackling any job a breeze. With the new all-in-one multi nozzle, this sprayer's versatility has never been greater. No more changing out small nozzles for different applications, simply twist and click the nozzle into place. The three settings range from fan to stream to cone patterns that can be easily identified for fast and easy operation. Backed by a 5-year warranty, this Roundup sprayer is built to last and is the perfect addition to any homeowner's tool assortment.New all-in-1 multi nozzle, fan, stream and cone settingsHeavy-duty tank with fill markingsPremium shut-off with comfort grip and lockE-Z pump system, pressurizes sprayer with 25% fewer strokesDurable aluminum wand for extended reachPremium seals for long-lasting leak-free performanceReinforced hose for optimal chemical resistanceQuick, 1-step assembly",Roundup 2 gal. All-in-1 Multi Nozzle Sprayer,1350.0,9
Krosswood Doors dress up both the entrance into your home and entryway into your life. Experience the beauty and warmth of wood with the Krosswood 36 in. x 80 in. x 1-3/4 in. Two-panel top rail arch Knotty Alder Exterior door. Door comes as a prehung ready for your opening and is easily stained with minimal prep time.5 year limited warrantyEngineered stiles and engineered rails with a full 1/8 in. veneerDoweled construction joins stiles and railsFull-thickness (1-3/4 in.) engineered-panelSolid knotty alder jambsOil rubbed bronze hingesBronze adjustable thresholdBronze sweep,Krosswood Doors Rustic Knotty Alder 2-Panel Top Rail Arch Solid Wood Core StainablePrehung Exterior Door,45000.0,3
"The Ring Video Doorbell is the world's first battery-operated, Wi-Fi enabled, HD video doorbell. The device enables homeowners to see and speak with visitors from anywhere in the world by streaming live audio and video of a home's front doorstep directly to the free iOS or Android app. Quick and easy to set up as it mounts and syncs in minutes and has a built in battery, however, it can also be powered through your existing doorbell wires.See and speak with visitors using your Smartphone or tablet, whether you're upstairs or across townCompatible with all iOS and android Smartphone and tabletsBuilt-in motion sensors detect movement up to 30 ft. allowing you to know what is going on outside of your homeMultiple faceplate finishes helping you match your current door hardwareConnect to current doorbell wiring or utilize internal battery for convenienceWink App Ready - No Wink Hub RequiredHome Depot Protection Plan:",Ring Wireless Video Door Bell,12500.0,4
"The MOEN Kleo kitchen faucet in Spot Resist Stainless has a single-handle faucet design for quick and easy water control. Its high-arc spout offers complete sink access. Kleo features the Reflex pull-down system that retracts automatically and self-docks securely. This innovative Spot Resist finish resists fingerprints and water spots to maintain the brilliance of the original finish and easily wipes clean.Innovative spot resist finish resists fingerprints and water spots to maintain the brilliance of the original finish and easily wipes cleanHigh-arc spout for complete sink accessFeatures Duralock quick connect system for easy installation3 function wand offers aerated stream, pause, or powerful cleaning rinseEquipped with the Reflex system for smooth operation, easy movement and secure docking of the pull-down/pullout spray head",MOEN Kleo Single-Handle Pull-Down Sprayer Kitchen Faucet Featuring Reflex in Spot Resist Stainless,12500.0,14
"The HDX 6 in. Slip Joint Pliers are perfect for various jobs around the home, garage or office. They are lightweight for ease of carrying and storage. Their strong construction and materials make them durable to handle tough jobs.Non-slip rubber handle for easy gripRust resistantErgonomic design to reduce stress and fatigue during useAdjustable joint for multiple sized applications",HDX 6 in. Slip Joint Pliers,550.0,18
"With a symphony of vines and floral patterns, this beautiful Lyndhurst Ivory/Multi Area Rug brings warmth and exuberance to any room in your home. The 8 ft. 9 in. x 12 ft. throw rug from Safavieh incorporates the intricacies of traditional European and Persian styles with the versatility of polypropylene to form a classic floor covering that will transform your space. It has a soft, plush feel and a rich color palette that coordinates with any design motif to refresh your interior aesthetic.Made with 100% polypropylene for long-lasting durabilityNo backing; rug gripper (sold separately) recommended to help prevent shifting and slidingPower-loomed in Turkey with precision and thoroughness for ultimate qualityCrafted by master weavers with utmost care and attention to detailVacuum regularly and spot-clean; for hard-to-remove stains, professional rug cleaning is recommendedFor an instant decorating makeover, this area rug is one of the easiest and most fashionable ways to refresh a room with character and styleAvailable in other sizes and colors60-day manufacturer warranty; for warranty information on this product, please call our Internet Customer Service Center at 1-800-435-4654Please note: The digital images and product dimensions on our website are as accurate as possible. Due to differences in computer screens, some rug colors may vary slightly. Lengths and widths may vary from the published dimensions. We do our best to provide an exact measurement, but please be advised that some variation exists. Patterns may vary slightly according to shape and size selected.Check Out The Home Depot's Area Rug Buying Guide",Safavieh Lyndhurst Ivory/Multi 8 ft. 9 in. x 12 ft. Area Rug,15999.0,18
"Sheetrock Brand UltraLight 1/2 in. x 4 ft. x 12 ft. Gypsum Board is the first and lightest 1/2 in. wallboard panels available. ICC-certified for sag resistance, they eliminate the need for separate wall and ceiling panels. Because they weigh up to 30% less than traditional 1/2 in. drywall, the panels are easier to lift, carry and install, allowing you to work more safely and more efficiently. Panels feature tapered long edges for easy finishing.Intended for non-fire rated applicationsThe non-combustible core is encased in 100% recycled face and back paperScore and snap easilyTapered edges for easily concealed jointsFor interior applicationsUse in new residential, and repair and remodel constructionHow much do you need?  Let our calculator help:",Sheetrock UltraLight 1/2 in. x 4 ft. x 12 ft. Gypsum Board,425.0,26
